THRESHOLD SWEEP RESULTS
============================================================

Best threshold: λ = 0.35
Best Macro F1: 0.4803
Best Accuracy: 0.6319

All results:
------------------------------------------------------------
λ=0.35: Accuracy=0.6319, MF1=0.4803
λ=0.30: Accuracy=0.6011, MF1=0.4790
λ=0.40: Accuracy=0.6546, MF1=0.4759
λ=0.25: Accuracy=0.5592, MF1=0.4682
λ=0.45: Accuracy=0.6687, MF1=0.4674
λ=0.50: Accuracy=0.6767, MF1=0.4561
λ=0.55: Accuracy=0.6797, MF1=0.4440
λ=0.20: Accuracy=0.4996, MF1=0.4417
λ=0.60: Accuracy=0.6785, MF1=0.4276
λ=0.65: Accuracy=0.6718, MF1=0.4089
λ=0.15: Accuracy=0.4168, MF1=0.3926
λ=0.70: Accuracy=0.6615, MF1=0.3887
λ=0.75: Accuracy=0.6459, MF1=0.3639
λ=0.80: Accuracy=0.6243, MF1=0.3353
λ=0.10: Accuracy=0.3079, MF1=0.3127
λ=0.85: Accuracy=0.5968, MF1=0.3021
λ=0.90: Accuracy=0.5625, MF1=0.2598
