THRESHOLD SWEEP RESULTS
============================================================

Best threshold: λ = 0.30
Best Macro F1: 0.4818
Best Accuracy: 0.6176

All results:
------------------------------------------------------------
λ=0.30: Accuracy=0.6176, MF1=0.4818
λ=0.35: Accuracy=0.6408, MF1=0.4805
λ=0.25: Accuracy=0.5876, MF1=0.4772
λ=0.40: Accuracy=0.6564, MF1=0.4722
λ=0.20: Accuracy=0.5448, MF1=0.4610
λ=0.45: Accuracy=0.6675, MF1=0.4608
λ=0.50: Accuracy=0.6753, MF1=0.4475
λ=0.55: Accuracy=0.6788, MF1=0.4322
λ=0.15: Accuracy=0.4847, MF1=0.4289
λ=0.60: Accuracy=0.6783, MF1=0.4158
λ=0.65: Accuracy=0.6737, MF1=0.3980
λ=0.70: Accuracy=0.6637, MF1=0.3774
λ=0.10: Accuracy=0.3952, MF1=0.3690
λ=0.75: Accuracy=0.6487, MF1=0.3562
λ=0.80: Accuracy=0.6272, MF1=0.3288
λ=0.85: Accuracy=0.5986, MF1=0.2960
λ=0.90: Accuracy=0.5609, MF1=0.2512
